N	MeanDifferenceSquared	VarianceDifferenceSquared
1	1.26067	1
51	0.00501691	0.0173781
101	0.00860038	0.017633
151	0.000491992	0.00137363
201	0.00222666	0.00156498
251	0.000568229	0.000136938
301	0.000379897	0.000734101
351	5.45559e-005	0.000979031
401	0.000446691	0.000353202
451	0.000450361	0.000689314
501	0.000737418	0.00572757
551	6.47078e-009	0.00657713
601	1.43841e-005	0.00522837
651	0.000124686	0.00620943
701	0.000671901	0.00493865
751	0.00121834	0.00391923
801	0.00142933	0.00329502
851	0.000498348	0.00270581
901	0.000135145	0.00169241
951	0.000307443	0.00155188
1001	0.000202272	0.00129958
1051	6.65886e-005	0.00112286
1101	0.000763272	0.00262602
1151	0.000549959	0.00180182
1201	0.000515488	0.00129728
1251	0.000289492	0.00183418
1301	0.000242802	0.00163605
1351	0.00043987	0.00186263
1401	0.000171706	0.00310856
1451	0.000387747	0.00314686
1501	0.000399998	0.00214696
1551	0.000757928	0.00156106
1601	0.0008125	0.00128426
1651	0.000540804	0.00123901
1701	0.000545875	0.00160831
1751	0.000676123	0.00231849
1801	0.000906723	0.00170095
1851	0.000936299	0.00149362
1901	0.0005922	0.00184714
1951	0.000720708	0.00169344
2001	0.000634978	0.00194248
2051	0.000240887	0.0020334
2101	0.000170551	0.00198196
2151	0.000216776	0.00153915
2201	0.000282475	0.00111819
2251	0.000194408	0.00113573
2301	0.000256065	0.000852188
2351	0.000458743	0.000830477
2401	0.000427879	0.000474277
2451	0.000309897	0.000578288
2501	0.000128232	0.0008368
2551	0.000166505	0.000970526
2601	0.000156124	0.000655012
2651	0.000126229	0.000461907
2701	0.000157322	0.000386238
2751	0.000235946	0.000283078
2801	0.000107643	0.000199468
2851	0.000225496	8.05991e-005
2901	0.000158323	0.000195261
2951	6.26238e-005	0.000131204
3001	0.000127222	6.4962e-005
3051	0.000102493	0.000125522
3101	0.000128805	7.49999e-005
3151	0.000158017	5.7273e-005
3201	0.000147739	5.65332e-005
3251	7.86362e-005	7.4855e-005
3301	8.27876e-006	0.000194155
3351	9.24275e-006	0.00014332
3401	1.63758e-005	7.76405e-005
3451	2.80596e-005	6.89232e-005
3501	3.09131e-005	2.26997e-005
3551	5.37858e-005	1.30318e-005
3601	5.63193e-005	4.10705e-005
3651	5.64113e-005	1.7479e-005
3701	1.76044e-005	4.11808e-006
3751	2.20831e-006	7.40593e-006
3801	7.93499e-007	1.86468e-005
3851	9.47787e-007	1.36492e-006
3901	4.00135e-006	1.83244e-005
3951	1.26904e-005	1.00059e-005
4001	3.6885e-005	7.21513e-006
4051	7.26635e-005	5.23384e-006
4101	6.98551e-005	1.31035e-006
4151	6.1544e-005	5.41695e-006
4201	0.000114699	3.77579e-005
4251	0.000110321	5.60742e-005
4301	7.2049e-005	8.95629e-005
4351	4.82213e-005	9.02295e-005
4401	3.31968e-005	0.000136156
4451	4.15224e-005	9.66393e-005
4501	6.78416e-005	0.000168417
4551	7.51518e-005	0.000260765
4601	6.46214e-005	0.000280524
4651	8.93044e-005	0.000157181
4701	0.000114994	9.12586e-005
4751	0.000109329	6.83824e-005
4801	9.53493e-005	2.55369e-005
4851	7.99296e-005	2.72822e-006
4901	8.28838e-005	3.3792e-006
4951	0.000126801	8.6924e-007
5001	7.60918e-005	1.57888e-006
5051	0.000151216	9.99657e-007
5101	0.000108792	1.31976e-005
5151	7.6849e-005	1.48259e-005
5201	7.43358e-005	1.36903e-005
5251	4.91904e-005	1.11657e-005
5301	9.10981e-005	1.43096e-008
5351	0.000115675	2.14731e-006
5401	0.000155336	1.72268e-005
5451	0.00014828	7.52112e-006
5501	0.000169921	2.72482e-006
5551	0.000146555	5.60786e-006
5601	0.000138595	1.16957e-005
5651	8.25451e-005	1.59715e-005
5701	6.21487e-005	2.36447e-005
5751	7.8299e-005	3.38161e-005
5801	7.32833e-005	3.68848e-005
5851	6.85675e-005	3.71984e-005
5901	9.84498e-005	3.15357e-005
5951	0.00010601	5.23466e-005
6001	0.000122403	6.21276e-005
6051	0.000104445	0.000116715
6101	0.000105608	0.000150161
6151	6.86518e-005	0.000171562
6201	5.95489e-005	0.00025912
6251	6.66797e-005	0.000309938
6301	5.58295e-005	0.00026528
6351	5.92032e-005	0.000211012
6401	8.2712e-005	0.000207644
6451	0.000103722	0.000245289
6501	0.000124201	0.000220851
6551	0.000148354	0.000158032
6601	0.000188274	0.000153706
6651	0.000228526	0.000105841
6701	0.000152416	0.000128413
6751	0.00014491	9.74421e-005
6801	0.000130163	8.94401e-005
6851	0.000119921	6.75587e-005
6901	7.73814e-005	7.83016e-005
6951	9.17282e-005	8.73913e-005
7001	7.34691e-005	8.44187e-005
7051	8.36875e-005	9.53588e-005
7101	7.05283e-005	0.000145457
7151	0.000100617	0.000125338
7201	0.00010715	0.000110423
7251	0.000134455	0.000146133
7301	0.000175445	0.000104603
7351	0.00020554	0.000156104
7401	0.000185641	0.000158657
7451	0.000183811	0.000179108
7501	0.000232414	0.000186546
7551	0.000198221	0.000165527
7601	0.000129089	0.0001635
7651	0.000125279	0.000197955
7701	0.000169263	0.000213803
7751	0.000153948	0.000195848
7801	0.000146402	0.000199352
7851	0.000131825	0.000208344
7901	0.000114452	0.000206491
7951	9.8065e-005	0.00020683
8001	8.51695e-005	0.000154881
8051	9.16222e-005	0.000148183
8101	7.03007e-005	0.000132584
8151	7.49065e-005	0.000120268
8201	7.59911e-005	0.000110814
8251	7.97087e-005	0.00013162
8301	7.70212e-005	0.000164287
8351	9.79614e-005	0.000168492
8401	0.000101183	0.000176966
8451	0.000115841	0.000183263
8501	0.000131286	0.000196015
8551	0.000140429	0.000130658
8601	0.000132616	0.000130922
8651	0.000117732	0.000106491
8701	8.69402e-005	8.67683e-005
8751	8.30925e-005	0.00011638
8801	0.000109207	0.000180346
8851	0.000134142	0.000176445
8901	0.000126915	0.000160986
8951	0.000120719	0.000145653
9001	0.000121234	0.000166271
9051	0.00013915	0.000158878
9101	0.000181862	0.000151724
9151	0.000194188	0.000100535
9201	0.000152638	9.8152e-005
9251	0.000152463	7.86039e-005
9301	0.000180092	0.000113927
9351	0.000163076	0.000111685
9401	0.000168559	8.12437e-005
9451	0.00016167	5.58591e-005
9501	0.000178558	5.33596e-005
9551	0.000138951	5.03168e-005
9601	0.00014597	3.63928e-005
9651	0.000146579	5.48972e-005
9701	0.000105403	8.85604e-005
9751	8.94047e-005	0.000131126
9801	8.8839e-005	0.000169779
9851	9.83365e-005	0.00013915
9901	0.000101787	0.000115816
9951	9.71141e-005	0.000135116
