x	y	x_noise	ynoise
-10	-13	-8.65387	-13.0099
-9	-11.5	-7.65131	-10.9428
-8	-10	-7.46576	-10.511
-7	-8.5	-7.00868	-8.82106
-6	-7	-4.94303	-7.59018
-5	-5.5	-5.38786	-5.54654
-4	-4	-4.99872	-4.82413
-3	-2.5	-2.48461	-2.18448
-2	-1	-2.98215	-3.20691
-1	0.5	0.449134	0.690217
0	2	-2.4518	0.704725
1	3.5	1.45379	3.56719
2	5	2.05861	4.44044
3	6.5	0.772543	5.82518
4	8	5.01485	7.44298
5	9.5	4.57539	9.6375
6	11	5.92949	11.3254
7	12.5	6.52648	10.8908
8	14	8.53277	15.4131
9	15.5	9.23171	15.0253
10	17	9.69085	14.9676
